,B2,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
360,20180828-145342_771,other,other,pro,cre,other,log,other,emo,emo,emo,0,1,A3UK4IH1X64TYH,0,0,0,1,A1AMP9RUXAAV9K,0.1,1,28,Female,White/Caucasian,4,Living with partner,Employed for wages,4,Agnostic,3,5,4,4,4,5,5,5,5,5,5,4,4,4,4,1,1,1,1,3,1,1,4,4,4,1,1,1,1,56,Female,White/Caucasian,4,Married,Employed for wages,7,Protestant (Baptist Methodist Non-denominational etc.),2,5,5,5,5,5,5,5,5,5,5,5,3,4,4,1,1,1,1,4,1,1,3,4,4,4,4,4,4,5,5,2.5,1,2.5,4.5,4.5,4,1,1,4,3,3,3.5,3,2,4,4.5,3.5,4,4.5,4,3.5,4.5,1,5,5,2.5,5,4,5,5,5,5,1,4,4,4,4,5,3.5,4,4,3,3,4,1,5.5,3.5,3.5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3.5,3.5,4.5,3.5,2.5,3,1.5,1.5,4.666666667,5,3,2,3.666666667,4.666666667,5,5,1,1,5,5,5,1,1,3.666666667,1.333333333,1.333333333,1,1,2.666666667,4,3.333333333,3,2.333333333,4,4.666666667,4.666666667,5.666666667,2.333333333,4,2.333333333,5.666666667,6,3.666666667,4.666666667,4,6,6,6,5,3.333333333,1.333333333,2,4,6,3,3.333333333,6,5.333333333,6,5.666666667,5.666666667,3,3.666666667,4.666666667,5,6,1,3.666666667,5,5,5,5,1,1,11,12.66666667,9,7,14,1,15.5,10.66666667,3.5,13,17,20,20,20,16,16,7,8,3,1,1,1,0,4,1,0,1,0,0,0,5,0,0,3,1,1,2,2
363,20180828-145857_925,other,other,other,other,emo,emo,emo,cre,pro,other,0,1,A2Z45R9OA6S9VN,0,0,0,1,A3A07QA5U733HQ,0,0,21,Male,White/Caucasian,3,Never been married,A student,1,Protestant (Baptist Methodist Non-denominational etc.),1,5,3,3,3,3,3,3,3,3,5,2,3,3,3,1,2,2,2,3,1,1,1,1,1,1,4,4,4,34,Male,White/Caucasian,3,Separated,Employed for wages,5,Agnostic,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,2,2,2,2,1,1,1,4,4,4,1,2,1,1,5,4,4,2,2,4,4,4,2,2,4,3,4,4,2,3,2,2,4,3,3,3,2,4,3,4,4,3,4,4,4,5,4,4,3,3,3,3,3,3,4,5,4,3,4,4,4,3,3,3,5,5,3,4,5,4,3,3,1,2,1,1,3,3,4,4,3.833333333,4,3,3.416666667,3.666666667,3.583333333,3.75,3.5,3.25,3.083333333,4.25,3.916666667,4.25,2.833333333,2.166666667,4.25,2.166666667,2.083333333,1.833333333,1.833333333,3.666666667,3.833333333,3,3.916666667,2.5,3.25,3.5,3.25,4,3.833333333,3.083333333,3.5,3.666666667,3.75,1.916666667,3.583333333,4.416666667,4.416666667,5.166666667,4.583333333,4.416666667,4.333333333,3.5,3.166666667,3.583333333,5,4.083333333,4.25,3.583333333,3.5,3.833333333,3.75,3.75,3.916666667,4.083333333,4,3.833333333,3.75,2,2.083333333,2.5,2.166666667,4,3.916666667,3.666666667,4,8,4.5,9,3.75,8,3.666666667,9,11.91666667,5,7.416666667,12,20,12,20,11,17,10,9,3,1,0,1,0,5,2,1,0,0,0,1,5,0,0,1,1,1,8,1
365,20180828-150231_344,other,pro,other,other,cre,other,pro,task,other,log,0,1,AU01P6YB9J5JX,0,0.1,1,1,A3EDQ2GO84QEBB,1,1,50,Female,Other,4,Never been married,Employed for wages,7,Protestant (Baptist Methodist Non-denominational etc.),4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,1,1,1,1,3,1,1,5,5,5,1,5,5,5,34,Female,White/Caucasian,6,Living with partner,Self-employed,11,Jewish,4,3,2,1,1,2,1,4,2,3,2,3,3,4,4,1,1,1,1,2,1,1,1,1,2,1,3,3,3,5,5,3,1.666666667,3.666666667,3.666666667,5,5,1,1,5,4.666666667,3.666666667,1,1,5,1,1.666666667,1,1.333333333,4,5,5,5,1,6,6,2,5,6,4,4.333333333,6,6,6,2,6,6,5.333333333,6,6,3,4.333333333,2,3,2.333333333,4.666666667,3.333333333,3.666666667,3.666666667,6,6,6,5.666666667,3.666666667,4.333333333,3,5.333333333,1.333333333,5,5,5,4.333333333,4.666666667,1.333333333,2.333333333,4,4,2,1,4,5,5,5,1,1,5,3,4,4,2,2,4,5,4,4,5,5,5,5,1,6,6,3,3,2,6,2,6,6,2,6,6,6,4,6,3,3,1,3,3,4,1,6,1,1,6,6,6,6,4,3,4,5,1,4,5,4,5,5,3,3,11.66666667,13,7.666666667,5,2.22E-16,15,18,19,11.33333333,6,16,6,16,10,16,14,7,6,0,1,1,2,1,5,1,5,1,0,0,0,1,1,0,1,1,1,1,1
367,20180828-150453_834,other,other,other,pro,emo,emo,log,log,other,other,0,1,A1G5SW4SM252UK,0,0.1,1,1,A2DXF3Y88VG4KN,0.1,1,49,Male,White/Caucasian,3,Living with partner,Employed for wages,9,Agnostic,4,5,4,5,4,4,5,4,4,5,4,4,4,4,4,2,2,2,2,4,1,1,2,2,2,1,4,4,4,62,Female,White/Caucasian,3,Never been married,Out of work and looking for work,1,Protestant (Baptist Methodist Non-denominational etc.),1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,1,5,1,1,4,1,4,1,5,5,5,4,4,4,2,3,4,4,4,2,2,4,4,4,4,2,3,3,3,2,2,3,4,4,4,2,5,5,2,4,4,5,2,5,5,2,5,5,5,5,5,4,3,3,6,5,4,1,5,5,5,5,5,4,4,2,5,4,5,2,3,4,4,4,4,3,3,5,5,1,1,4,5,5,5,1,1,5,5,5,1,1,4,1,1,1,1,5,3,1,5,3,6,6,6,6,6,6,6,6,4,6,5,6,6,6,6,6,6,6,6,3,4,6,4,6,6,6,6,6,6,3,6,6,6,1,5,5,3,5,5,2,3,8,13,7,6,7,0,13,11,6,13,17,20,18,20,16,20,12,18,2,0,2,1,0,5,1,0,2,0,0,0,5,1,0,1,1,1,1,1
368,20180828-150559_96,other,cre,emo,emo,pro,other,task,cre,cre,emo,0,1,A1F1OZ54G177D8,0,0,0,1,A2RSG8IMB0ZOB5,2,1,44,Male,White/Caucasian,3,Married,Employed for wages,9,Roman Catholic,2,5,4,5,4,4,4,4,5,4,5,4,4,4,4,4,1,1,1,3,1,1,3,4,3,1,4,3,4,61,Female,White/Caucasian,4,Married,A homemaker,11,Orthodox (Greek Russian or some other Orthodox church),4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,4,4,4,1,5,5,5,4,4.5,4,1.5,1.5,4,4,3.5,1,1,3.5,4.5,3.5,1.5,1,4,2.5,1,1.5,2,4,5,3,4,3,4.5,5,3.5,2,3.5,3,4.5,4,3,1.5,3.5,3.5,4,5,4.5,4,4.5,4.5,5.5,4.5,4,5.5,5.5,3,3,2.5,2.5,3,3,4.5,3,2.5,2.5,2,3.5,3,4.5,4,3,3.5,3.5,5,4,5,2,4,5,5,5,1,1,5,5,5,1,1,1,4,4,4,2,4,4,2,4,2,5,6,3,3,5,6,2,6,6,2,6,6,6,3,6,6,5,6,3,3,4,1,3,5,5,6,6,6,3,3,4,1,6,1,5,5,5,4,4,2,4,9.5,13,9.5,8,3,13,13,12,9,13,17,20,17,20,16,20,10,9,3,3,0,1,1,3,1,4,1,0,0,0,0,3,0,2,2,2,1,1
369,20180828-150659_719,other,cre,emo,emo,log,other,other,other,task,other,0,1,A3FLU5Q5TRQIPE,0,1,1,1,A2XRYF0L5ACD2E,1,1,19,Male,White/Caucasian,2,Never been married,A student,12,Orthodox (Greek Russian or some other Orthodox church),2,4,4,3,4,4,5,4,4,5,4,4,4,5,4,2,2,2,1,4,1,1,4,5,5,1,5,4,4,70,Male,White/Caucasian,4,Married,Retired,7,Atheist,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,2,4,3,2,2,2,4,2,4,3.166666667,3.333333333,2.166666667,3.333333333,4.333333333,5,4,2.333333333,1,4.333333333,5,4,2.666666667,1.5,3,3.5,4.5,2.666666667,2.666666667,3.666666667,5,3.333333333,5,2,5,4.166666667,4.5,5.833333333,2.833333333,5,2.5,4.5,5.166666667,1.333333333,2.666666667,5.833333333,4.833333333,6,5.666666667,4.333333333,3,4.166666667,1.666666667,3.166666667,5,1.833333333,6,5,3,6,5.166666667,5.833333333,3.666666667,1.833333333,3.666666667,2.5,5,2,3,3.833333333,4,4.833333333,4.166666667,2.166666667,1.5,5,4,1,4,5,4,4,4,2,2,3,3.5,3,4.5,3.5,5,3,3,1,1,5,4.5,5,5,1,6,6,4.5,4,3.5,5.5,4,6,6,5,6,5.5,6,4.5,6,6,4,2.5,1,2.5,4,3,6,4,4,3.5,5,6,5,4,2,2,6,2,5,5,5,4,4,2.5,2,10,8,5,1,10.33333333,3,15,18.5,9.166666667,1.5,15,20,18,20,17,20,11,9,2,1,1,0,1,5,1,2,0,0,0,0,4,1,0,2,2,1,1,1
370,20180828-150721_38,other,other,emo,pro,emo,other,other,log,other,other,0,1,A2EE7JRUB0QIUO,0,2,1,1,A38S1M9I6HIBJG,0.75,1,23,Female,White/Caucasian,3,Living with partner,Employed for wages,4,Protestant (Baptist Methodist Non-denominational etc.),4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,3,4,1,1,1,1,1,4,4,4,43,Male,White/Caucasian,3,Married,Employed for wages,11,Atheist,2,4,4,4,3,4,5,5,5,4,4,4,3,4,4,1,1,1,1,3,1,1,3,3,3,1,4,4,3,5,5,5,3,2,4,5,5,2,5,5,4,4,2,2,4,2,3,3,4,5,4,4,5,2,5,5,2,2,2,5,2,6,5,4,4,6,5,4,6,4,3,3,5,2,1,3,5,2,2,6,6,4,4,4,3,3,4,2,3,4,2,4,4,5,5,5,4,2,2,1,4,4,5,1,1,5,4,4,2,1,4,1,1,1,2,4,4,3,3,1,6,5,4,5,6,4,4,6,6,2,4,4,4,6,6,5,5,4,3,2,4,3,4,5,5,5,4,6,6,3,4,3,6,1,4,5,4,5,5,2,2,7,11,10,8,8,1,16,13,9,10,12,15,12,19,12,15,16,7,2,0,1,1,0,6,0,3,0,0,0,0,6,0,0,1,1,1,1,1
373,20180828-151312_220,other,other,other,pro,other,pro,log,emo,other,other,0,1,AEQ1FIT3SYXWZ,0,0,0,1,A16BZHTVTU4976,2,1,27,Male,White/Caucasian,6,Married,Employed for wages,7,Agnostic,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1,5,5,5,1,4,4,4,35,Female,White/Caucasian,6,Married,A student,6,Protestant (Baptist Methodist Non-denominational etc.),2,4,3,3,4,4,5,5,5,5,4,4,4,4,5,1,1,1,1,1,1,1,2,2,2,1,5,5,5,5,5,4,2,4.333333333,5,5,5,1,1,5,4.333333333,5,2.333333333,1,5,1,1.333333333,1,1,5,5,4,5,1.333333333,6,6,1.333333333,4.333333333,6,3,1.333333333,6,6,1,4.333333333,6,6,4.666666667,6,6,2,1.333333333,2,3.666666667,4,4.666666667,6,5.333333333,2.666666667,6,6,5.333333333,5.666666667,4.333333333,6,6,6,1.333333333,5,5,5,4.666666667,4.666666667,2.666666667,2,3,2,2,4,4,3,4,4,4,1,3,3,3,2,2,3,4,4,4,4,4,4,3,4,2,4,4,2,5,5,4,3,4,4,4,3,4,5,5,5,5,2,4,5,4,5,5,3,5,4,5,4,4,4,2,3,4,4,2,2,2,1,4,4,3,3,13,6,7.666666667,-1,-0.666666667,13,17.66666667,13,11,5,20,14,20,20,20,17,9,5,1,0,1,2,0,6,1,0,3,0,0,0,2,2,0,2,3,2,1,1
375,20180828-151914_101,other,cre,emo,emo,task,task,log,task,cre,emo,0,1,A2A4EX36X0JB4R,0,1,1,1,A1A6WVWKUO1XX,1,1,48,Female,White/Caucasian,2,Married,Employed for wages,9,Other,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,2,2,4,1,1,4,4,4,1,4,4,4,43,Female,White/Caucasian,4,Married,A homemaker,8,Other,3,3,2,2,3,3,3,3,2,2,4,2,3,4,4,2,2,3,2,3,1,1,2,2,2,1,3,3,3,4,3,3,3,4,5,5,5,1,1,4,4,4,2,1,5,1,2,1,1,4,4,3,4,2,5,5,2,3,3,6,2,6,6,2,4,6,6,4,6,4,4,3,4,3,4,2,6,3,3,5,6,6,5,4,5,6,6,2,4,5,2,4,4,4,3,4,5,3,1,4,4,5,4,2,4,4,5,4,3,3,4,3,4,3,5,3,3,2,4,3,4,6,3,3,5,5,3,6,6,6,4,5,3,5,6,5,5,4,6,2,6,2,1,5,4,5,4,6,3,2,2,3,3,1,4,4,3,4,5,2,4,13,7,3,7,0,11,13,9,9,7,16,10,16,10,15,13,12,12,3,2,1,0,3,1,1,1,0,0,0,0,4,0,0,4,1,1,1,1
376,20180828-152151_483,other,other,other,cre,cre,emo,emo,emo,log,emo,0,1,A1B7Y6W33FM2L8,0,0,0,1,A3HL2LL0LEPZT8,0.1,1,39,Male,White/Caucasian,3,Never been married,Self-employed,2,Roman Catholic,4,3,2,2,1,3,2,1,2,1,5,4,4,4,3,4,4,2,2,2,3,1,2,2,2,3,3,3,3,34,Male,Asian/Asian American,4,Never been married,Self-employed,10,Roman Catholic,4,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,4.235294118,4.529411765,3.411764706,1.529411765,3.941176471,4.823529412,5,5,1,1.235294118,4.823529412,4.470588235,4.529411765,1.294117647,1.117647059,3.823529412,2.235294118,2.882352941,2.117647059,2.117647059,4.882352941,4.764705882,2,4.823529412,1.647058824,5.882352941,5.823529412,3.882352941,5.411764706,5.705882353,5.882352941,4,6,6,3.176470588,2.294117647,5.117647059,5.529411765,6,6,5,3.235294118,1.058823529,2.529411765,4.352941176,4.823529412,1.411764706,2.411764706,4.764705882,4.294117647,5.588235294,5.647058824,4.764705882,5.352941176,4.764705882,4.470588235,4.529411765,4.588235294,1.764705882,3.470588235,5,2.470588235,4.705882353,4.705882353,2.058823529,2.117647059,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,3,3,4,2,2,4,3,3,4,3,4,4,3,2,2,4,2,4,5,2,4,4,4,4,4,4,3,4,3,3,3,3,4,2,2,3,4,3,3,4,3,3,3,2,2,2,3,4,4,3,3,12.58823529,5,6.705882353,4,5.529411765,8,14.82352941,11,11.41176471,4,8,12,6,11,15,11,14,14,4,2,1,0,0,3,1,6,0,0,0,0,1,0,0,2,11,3,1,1
377,20180828-152813_982,other,other,emo,cre,other,other,other,other,other,emo,0,1,A3IHG12D1WMW8Y,0,0,0,1,A161AJDHLJVCLZ,0,0,25,Male,Other,3,Never been married,Self-employed,6,Other,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,30,Female,White/Caucasian,6,Married,Employed for wages,11,Atheist,4,5,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2.4,2.2,2.6,2.6,2.6,2.2,2.8,3,2.6,2.6,3.2,3.2,3,2.6,2.4,2.8,3,2.8,2.4,3,3.6,3.4,3.2,3,2.8,3.2,3.2,3.2,3.2,4.2,3.6,3.6,3.6,3.4,3.2,3.4,2.8,3,3.4,3.8,4.2,4,3.6,2.8,3.2,3.4,4,4.2,4.2,4.2,4.4,3.8,3.6,4.2,4.4,4.2,4.4,4.4,2.6,3.2,3.4,3,3,2.8,2.6,2.2,4,3.911764706,2.323529412,2.058823529,3.852941176,4.029411765,4.029411765,4.029411765,1.970588235,1.970588235,3.970588235,4.029411765,4.029411765,1.941176471,1.941176471,3.941176471,2.088235294,2,2,2,4,4,3.294117647,4,2.088235294,3.911764706,3.588235294,3.352941176,3.382352941,3.676470588,3.764705882,3.5,3.588235294,3.705882353,3.205882353,3.617647059,4.088235294,4.058823529,3.970588235,4.205882353,4.029411765,3.970588235,3.029411765,4.235294118,3.941176471,3.970588235,2.647058824,4.058823529,3.176470588,3.088235294,3.382352941,3.411764706,3.352941176,3.264705882,3.117647059,3.117647059,3.235294118,3.205882353,2,2.058823529,4.029411765,4.058823529,3.970588235,4,2.852941176,4,2.8,8.147058824,2,4.323529412,8.4,4.147058824,10.4,13.20588235,4.4,8.147058824,11,12,10,12,12,16,15,12,2,1,0,0,0,7,1,1,1,0,0,2,2,1,0,2,1,1,21,13
378,20180828-154646_473,other,other,emo,emo,cre,emo,cre,emo,other,task,0,1,A1RGD548VIVY96,0,1,1,1,A2JZ70U9ALIH5O,0.5,1,32,Male,Hispanic/Latino,6,Married,Employed for wages,9,Agnostic,3,4,3,3,3,3,3,3,3,3,5,4,4,3,4,2,2,2,2,3,1,1,2,3,2,1,3,3,3,34,Male,White/Caucasian,3,Separated,Self-employed,10,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,1,3,3,4,1,4,4,4,2.977272727,2.727272727,1.090909091,3.022727273,4.113636364,3,3.090909091,3.022727273,2.840909091,2.909090909,3.159090909,3.068181818,3.863636364,1.045454545,1.25,3.636363636,1.045454545,1.045454545,1.022727273,1.045454545,3,4.022727273,3,3.022727273,1.681818182,3.545454545,3.590909091,2.113636364,2.113636364,2.25,3.772727273,2.136363636,3.954545455,3.704545455,2.090909091,3.909090909,4.045454545,4.977272727,2.954545455,4,4.977272727,4,1.045454545,5,4,2.954545455,3.863636364,4.75,4.931818182,2.181818182,4.727272727,4.954545455,4.909090909,3.068181818,3.068181818,2.159090909,2.136363636,4.454545455,2.159090909,4,4.045454545,3.204545455,4,4,2.136363636,2.272727273,5,5,5,1.5,2,5,4.5,4,1,1,3,3.5,3.5,2,1,3.5,2.5,3.5,2,2,4.5,4.5,3,5,2,5,5,4,4,6,5.5,3,6,5.5,4,3.5,5,5.5,5.5,6,4.5,4.5,3.5,3.5,3,4.5,4,5,4,4,6,4.5,5,5,4,5,4,3,1,2.5,3.5,2.5,4.5,4,3.5,3,3.363636364,11.5,-0.340909091,11.5,0.522727273,6.5,11.36363636,15,7.795454545,7,12,16,12,16,15,16,11,8,4,2,0,0,1,3,2,1,0,0,0,0,2,1,0,4,21,13,1,1
379,20180828-155133_109,other,emo,cre,log,other,other,emo,pro,other,other,0,1,A22N5ONOWPNZGB,0,0.5,1,1,A3S49UPP1EC44X,0.1,1,35,Female,White/Caucasian,2,Living with partner,Employed for wages,5,Other,4,4,4,3,3,4,4,4,3,4,4,4,4,5,4,2,2,2,2,3,1,1,3,2,3,1,4,4,4,27,Male,White/Caucasian,4,Never been married,Employed for wages,3,Roman Catholic,5,5,4,4,4,4,4,4,5,4,1,5,5,5,5,5,5,5,1,5,5,5,5,5,3,2,4,3,4,5,5,5,1,2,5,5,4,1,1,5,5,4,2,1,5,1,2,2,1,5,5,2,4,1,6,4,2,2,3,3,2,6,5,1,3,5,3,3,6,5,4,4,3,3,4,2,4,2,3,3,5,4,4,4,3,2,5,2,4,2,2,4,4,2,2,5,5,3,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,4,4,3,4,6,4,5,4,4,4,2,4,4,6,5,4,5,5,5,5,5,2,3,3,3,3,2,2,2,2,2,2,3,2,3,4,4,4,4,12,9,12,3,1,15,15,19,11,5,14,16,15,17,17,20,11,21,2,1,1,1,0,5,1,0,3,0,0,0,4,1,0,1,1,1,1,1
380,20180828-155340_989,other,other,cre,cre,task,task,log,emo,emo,log,0,1,A16KMPWYUZO0M6,0,0,0,1,A1Y82LKWQQP90M,0.2,1,35,Male,White/Caucasian,3,Married,Employed for wages,9,Roman Catholic,3,5,4,4,4,4,5,5,3,4,5,5,4,4,4,1,1,1,1,3,1,1,1,3,3,1,3,3,3,31,Female,White/Caucasian,3,Married,Employed for wages,5,Other,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,1,1,1,5,1,1,2,2,3,1,2,3,4,4.5,4.125,3.625,1.75,2.25,4.875,4.625,4.625,1.875,2.125,4.25,4.125,4,1.5,1.125,3.875,1.75,2.375,1.75,1.625,3.25,4.125,3.75,4,2.5,5.25,5.25,4.625,4.375,4.25,5.125,3.25,5.375,5.125,5.5,5,5,4.75,4.25,5.5,4,4.5,2.625,2.875,3.375,4.75,2.375,5.125,4.375,4.625,5,4.875,4.75,4.375,3.875,4.375,4,4.375,1.875,4,4.375,4.125,4.25,4,2.25,4,5,4.6,2.6,1.2,3.8,5,5,5,1,1,4.2,3.8,4.2,1.4,1,1.6,5,5,4.8,4.6,5,5,3.6,2.8,1.8,5.6,5.8,2.8,5.8,6,3.6,1.8,6,6,2,5.4,6,5.6,5.8,6,5.4,1.4,2,5,4.4,5.6,1.6,6,3.8,4.8,6,6,4,6,3.8,5,4.4,4.2,2.8,1.6,5,3.8,5,5,1,1,10.125,13,8.25,7.2,3.625,17.8,12.625,14.6,9.75,9.8,16,20,17,20,17,18,7,9,2,2,2,0,2,2,1,3,3,0,0,0,2,0,0,1,6,3,2,1
381,20180828-155952_523,other,cre,cre,emo,cre,emo,other,emo,emo,emo,0,1,A244X2KYRPNOEO,0,0.5,1,1,A3908297ZI3LES,0,0,38,Female,White/Caucasian,4,Living with partner,Employed for wages,4,Roman Catholic,2,1,2,4,2,3,1,1,3,3,5,1,1,2,1,3,1,1,1,3,2,1,1,1,1,1,4,4,4,56,Female,White/Caucasian,2,Never been married,Employed for wages,2,Roman Catholic,4,3,3,3,3,3,3,3,3,3,5,4,2,5,2,5,5,5,3,3,2,2,3,2,3,2,4,2,4,5,5,5,1,1,5,5,5,1,1,5,4,5,2,1,5,2,2,1,3,5,5,4,5,1,5,5,4,4,3,6,1,6,6,1,5,6,6,3,6,5,4,1,3,1,4,2,6,3,4,6,6,6,6,5,5,4,4,1,3,5,3,4,4,3,3,4,4,4,2,2,4,2,2,2,2,3,3,2,3,3,2,2,2,2,2,4,3,3,4,2,3,2,2,3,2,4,2,5,4,2,3,4,4,4,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,2,3,3,3,4,4,3,4,13,4,13,8,3,6,18,12,11,2,11,12,8,12,5,13,9,21,8,3,0,0,0,2,0,3,1,0,0,0,2,0,0,7,1,1,1,1
