,B2,V1,V11,V2,V12,V3,V13,V4,V14,V5,V15,V6,V16,V7,V17,V8,V18,V9,V19,V10,V20,bad,complete,subject_a,role_a,donation_a,donate_a,role_p,subject_p,donation_p,donate_p,age_a,gender_a,race_a,edu_a,marital_a,employment_a,income_a,religion_a,ideology_a,pt_overall_a,pt_competence1_a,pt_competence2_a,pt_competence3_a,pt_competence4_a,pt_warmth1_a,pt_warmth2_a,pt_warmth3_a,pt_warmth4_a,pt_engagement_a,pt_as1_a,pt_as2_a,pt_as3_a,pt_as4_a,pt_defensive1_a,pt_defensive2_a,pt_defensive3_a,pt_defensive4_a,pt_defensive5_a,angry_a,guilty_a,enthusiastic_a,proud_a,inspired_a,ashamed_a,moral1_a,moral2_a,moral3_a,age_p,gender_p,race_p,edu_p,marital_p,employment_p,income_p,religion_p,ideology_p,pt_overall_p,pt_competence1_p,pt_competence2_p,pt_competence3_p,pt_competence4_p,pt_warmth1_p,pt_warmth2_p,pt_warmth3_p,pt_warmth4_p,pt_engagement_p,pt_as1_p,pt_as2_p,pt_as3_p,pt_as4_p,pt_defensive1_p,pt_defensive2_p,pt_defensive3_p,pt_defensive4_p,pt_defensive5_p,angry_p,guilty_p,enthusiastic_p,proud_p,inspired_p,ashamed_p,moral1_p,moral2_p,moral3_p,bf_extrovert1_a,bf_extrovert2_a,bf_extrovert3_a,bf_extrovert4_a,bf_extrovert5_a,bf_agreeable1_a,bf_agreeable2_a,bf_agreeable3_a,bf_agreeable4_a,bf_agreeable5_a,bf_conscientious1_a,bf_conscientious2_a,bf_conscientious3_a,bf_conscientious4_a,bf_conscientious5_a,bf_neurotic1_a,bf_neurotic2_a,bf_neurotic3_a,bf_neurotic4_a,bf_neurotic5_a,bf_open1_a,bf_open2_a,bf_open3_a,bf_open4_a,bf_open5_a,mf_care1_a,mf_fair1_a,mf_loyalty1_a,mf_authority1_a,mf_purity1_a,mf_care2_a,mf_authority2_a,mf_care3_a,mf_fair2_a,mf_purity2_a,mf_free1_a,mf_care4_a,mf_fair3_a,mf_authority3_a,mf_unused_a,mf_fair4_a,mf_loyalty2_a,mf_authority4_a,mf_care5_a,mf_loyalty3_a,mf_authority5_a,mf_purity3_a,mf_free2_a,pv_conform_a,pv_tradition_a,pv_benevolence_a,pv_universalism_a,pv_self_direction_a,pv_stimulation_a,pv_hedonism_a,pv_achievement_a,pv_power_a,pv_security_a,ssi1_a,ssi3_a,ssi6_a,ssi8_a,ds_rational1_a,ds_rational2_a,ds_intuitive1_a,ds_intuitive2_a,bf_extrovert1_p,bf_extrovert2_p,bf_extrovert3_p,bf_extrovert4_p,bf_extrovert5_p,bf_agreeable1_p,bf_agreeable2_p,bf_agreeable3_p,bf_agreeable4_p,bf_agreeable5_p,bf_conscientious1_p,bf_conscientious2_p,bf_conscientious3_p,bf_conscientious4_p,bf_conscientious5_p,bf_neurotic1_p,bf_neurotic2_p,bf_neurotic3_p,bf_neurotic4_p,bf_neurotic5_p,bf_open1_p,bf_open2_p,bf_open3_p,bf_open4_p,bf_open5_p,mf_care1_p,mf_fair1_p,mf_loyalty1_p,mf_authority1_p,mf_purity1_p,mf_care2_p,mf_authority2_p,mf_care3_p,mf_fair2_p,mf_purity2_p,mf_free1_p,mf_care4_p,mf_fair3_p,mf_authority3_p,mf_unused_p,mf_fair4_p,mf_loyalty2_p,mf_authority4_p,mf_care5_p,mf_loyalty3_p,mf_authority5_p,mf_purity3_p,mf_free2_p,pv_conform_p,pv_tradition_p,pv_benevolence_p,pv_universalism_p,pv_self_direction_p,pv_stimulation_p,pv_hedonism_p,pv_achievement_p,pv_power_p,pv_security_p,ssi1_p,ssi3_p,ssi6_p,ssi8_p,ds_rational1_p,ds_rational2_p,ds_intuitive1_p,ds_intuitive2_p,bf_agreeable_a,bf_agreeable_p,bf_extrovert_a,bf_extrovert_p,bf_neurotic_a,bf_neurotic_p,bf_open_a,bf_open_p,bf_conscientious_a,bf_conscientious_p,pt_competence_a,pt_competence_p,pt_warmth_a,pt_warmth_p,pt_as_a,pt_as_p,pt_defensive_a,pt_defensive_p,E2_a,L1_a,L3_a,P1_a,TF_a,other_a,A1_p,A3_p,A5_p,A6_p,A11_p,A12_p,A16_p,A17_p,A18_p,A19_p,visit_a,trial_a,visit_p,trial_p
292,20180830-182713_515,other,providep,emo,providep,emo,providep,emo,providep,emo,agree,emo,offtask,log,offtask,emo,agree,other,disagree,emo,agree,0,1,ACNHKXWKZRUZ5,0,0,0,1,A21XG1MW1PW6TP,1,1,44,Male,White/Caucasian,4,Married,Employed for wages,3,Agnostic,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,1,1,4,3,4,1,4,4,4,30,Male,White/Caucasian,4,Living with partner,Employed for wages,9,Agnostic,4,3,2,2,4,2,2,3,1,2,2,3,4,4,4,2,2,2,2,3,1,1,2,2,2,1,3,4,4,4,4.076923077,3.923076923,3.230769231,3.461538462,3.307692308,3.461538462,3.692307692,3.153846154,3.076923077,4.076923077,4.461538462,4.076923077,2.692307692,2,2.923076923,3.153846154,3.384615385,3.153846154,3,3.384615385,3.692307692,2.923076923,3.230769231,2.769230769,3.538461538,4.307692308,2.538461538,3.076923077,2.769230769,3.538461538,2.769230769,3.230769231,4.615384615,1.384615385,2.461538462,4.153846154,4.230769231,3.230769231,4.923076923,5,2.692307692,5.615384615,2,3.153846154,2.307692308,5.153846154,4.461538462,3.153846154,3.076923077,3.384615385,3.153846154,3.153846154,3.230769231,3.384615385,3.769230769,3.846153846,3.461538462,2.076923077,2.538461538,3.923076923,3.846153846,4,4.076923077,2.230769231,2.230769231,2,4,1,1,4,5,5,4,1,1,5,4,5,2,1,4,2,4,1,1,5,5,4,5,1,6,5,3,4,2,6,2,6,6,1,6,6,6,2,6,4,3,4,5,3,5,1,6,2,2,5,5,6,4,3,4,5,3,1,2,4,2,5,5,2,1,4.230769231,12,5.307692308,2,9.769230769,4,10.46153846,18,7.923076923,11,16,10,16,8,16,15,12,11,7,0,2,0,0,2,0,0,4,1,0,0,4,0,0,2,9,2,1,1
325,20180831-083027_46,other,providep,other,providep,log,agree,emo,providep,other,providep,emo,asktask,log,agree,emo,providep,log,agree,other,positive,0,1,A34T1MIM4S7KDD,0,2,1,1,A1DNJ3C38BJ0MJ,0.5,1,28,Female,White/Caucasian,6,Never been married,Out of work and looking for work,7,Agnostic,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,4,1,2,5,5,5,1,4,4,4,61,Female,White/Caucasian,3,Married,Employed for wages,11,Roman Catholic,2,4,5,5,4,5,5,5,5,5,4,4,5,5,4,3,1,1,1,5,1,1,4,5,5,1,4,5,5,4,2,2,2,4,5,5,4,1,1,5,4,4,2,2,2,4,4,4,2,4,4,3,5,2,5,6,2,3,4,5,2,6,6,1,4,4,4,4,5,4,3,3,4,4,4,1,5,2,1,5,5,4,2,3,4,4,4,2,2,4,2,4,3,4,4,4.217391304,4.130434783,3.434782609,1.956521739,2.217391304,4.782608696,4.260869565,3.739130435,1.347826087,1.217391304,4.956521739,4.608695652,2.565217391,1.47826087,1.086956522,4.913043478,1.347826087,1.52173913,1.347826087,1.217391304,5,4.608695652,1.391304348,3.826086957,1.173913043,4,3.956521739,5.260869565,5.434782609,5.782608696,4.652173913,5.304347826,4.739130435,4.869565217,5.956521739,4.52173913,4.608695652,5.173913043,5.739130435,5.347826087,5.260869565,5.043478261,5.347826087,4.913043478,5.47826087,5.608695652,5.565217391,4.304347826,5.47826087,5.043478261,5.52173913,5.304347826,4.826086957,4.869565217,4.913043478,5.739130435,5.130434783,4.782608696,2.608695652,2,3.652173913,4.608695652,4.347826087,3.52173913,3.391304348,4.391304348,12,10.2173913,2,7.608695652,12,0.52173913,14,13.65217391,9,9.565217391,16,19,16,20,16,18,8,11,3,0,3,0,0,4,0,1,3,0,0,0,5,1,0,0,1,1,12,7
329,20180831-115617_21,other,providep,pro,providep,other,providep,cre,providep,emo,asktask,log,providep,cre,providep,task,offtask,emo,providep,emo,providep,0,1,A2VEXH2HN7SCWC,0,1,1,1,A3H2PNW9R0TGH1,1,1,41,Female,White/Caucasian,4,Married,A homemaker,11,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,2,2,2,2,3,1,1,1,1,2,1,2,3,3,82,Female,Hispanic/Latino,3,Widowed,Retired,5,Roman Catholic,2,5,5,4,4,4,4,4,4,4,5,5,5,5,5,1,1,1,1,5,1,1,4,4,4,1,5,4,5,4,4,1,3,4,4,4,4,2,4,4,4,3,2,2,3,4,4,2,3,4,4,3,4,2,4,4,4,5,5,4,3,4,3,5,2,5,4,4,5,4,5,4,5,4,4,4,4,3,3,4,3,4,3,2,3,4,5,2,3,4,3,4,4,4,4,4.5,4.5,3.5,2,2,4.5,4.5,4.5,2.5,3,3.5,3,3,3.5,2.5,3.5,2,2.5,2,2,2.5,3,3,3,2.5,3.5,3.5,4,4,4,4,4,3.5,4,5.5,5,5,5,5,5.5,5.5,4.5,4,5,4,5,5,5,5,5.5,5.5,5.5,5,4.5,3.5,4.5,4.5,4.5,2,3,4,2.5,4,4,3,3,6,8,2,8.5,10,5,13,9,7,3.5,15,17,16,16,15,20,11,9,3,2,1,1,1,2,0,1,0,0,0,0,8,0,0,1,1,1,1,1
352,20180831-215137_413,other,providep,other,providep,other,providep,emo,providep,emo,offtask,emo,providep,log,providep,other,providep,log,asktask,task,agree,0,1,A7K6LJGDREGTT,0,0,0,1,A2JY56TZCEPK3J,0,0,28,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Roman Catholic,2,5,3,4,5,5,5,5,2,2,5,3,3,4,4,1,1,1,3,5,1,3,5,5,3,2,1,1,1,42,Male,White/Caucasian,6,Married,Employed for wages,7,Protestant (Baptist Methodist Non-denominational etc.),2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,2,2,4,1,1,4,4,4,1,4,4,4,4.666666667,4.666666667,3.333333333,1.666666667,3.333333333,4,2.666666667,3,2.666666667,3.333333333,5,4,4.666666667,3,1.666666667,4,4.666666667,3,2.666666667,4.333333333,1.333333333,5,3.666666667,4.333333333,1,1,3.666666667,2.333333333,4.333333333,3.333333333,3.333333333,2,5,5.666666667,2.333333333,4.666666667,1.666666667,4,5,6,3.666666667,5,1.666666667,3.666666667,2.333333333,1.666666667,2.333333333,5.666666667,4.333333333,4,4,3,3,3.333333333,4.333333333,4.333333333,4,4.666666667,1.333333333,2,1.666666667,1.333333333,4.666666667,4.666666667,1.333333333,1,3.4,3.36,3.32,3.08,3.2,3.32,3.32,3.32,3,3,3.36,3.36,3.36,3.12,3,3.32,3.12,3.12,3,3,3.32,3.32,3,3.24,3,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5,5,5,5,5,5,5,5,5,5,5,5,2.12,4.68,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,1.96,2.08,2.08,2,4,4,3.92,3.92,3.666666667,3.96,7.666666667,3.8,10.66666667,8.92,13.33333333,9.88,9,3.96,17,16,14,16,14,14,11,12,3,0,2,0,1,5,0,1,1,0,0,0,7,1,0,1,3,2,10,6
353,20180831-221232_645,other,providep,cre,offtask,emo,asktask,other,asktask,cre,asktask,task,providep,emo,asktask,cre,agree,emo,providep,other,offtask,0,1,A2QYKSP6P9PGQR,0,0,0,1,ASBJG6LQ9G1PL,0,0,39,Male,Asian/Asian American,3,Married,Employed for wages,5,Hindu,2,3,3,4,4,3,3,4,4,4,4,4,3,4,4,3,2,3,3,3,3,2,4,4,4,1,3,4,4,29,Female,White/Caucasian,4,Married,Employed for wages,6,Agnostic,5,2,3,1,1,3,3,4,2,2,2,1,4,2,4,2,2,3,2,3,1,1,1,1,1,1,4,4,4,3,4,4,4,3,4,4,5,4,3,4,3,3,4,4,5,3,4,2,3,3,2,3,3,4,4,5,5,6,5,4,3,4,3,4,5,6,5,5,4,4,3,4,3,4,5,4,3,5,4,3,3,3,2,2,1,3,3,3,2,2,3,2,3,3,3,5,4.714285714,2.571428571,3.142857143,3.428571429,4.142857143,4,3.857142857,2.571428571,3.142857143,3.571428571,4.142857143,4,2,2.285714286,4,2,2.857142857,2,2,4,4,2,4,3.857142857,4.142857143,3.857142857,3.571428571,3.571428571,3.714285714,1.571428571,1.142857143,4.428571429,5,1,4,3.571428571,5.142857143,5.142857143,4.857142857,2.428571429,2.285714286,5,2.571428571,4.285714286,5.857142857,5.571428571,5.857142857,5,5,5,4.428571429,5,5,5.142857143,1.857142857,2.142857143,5.142857143,1.285714286,3.285714286,3.428571429,2.285714286,4.857142857,4.714285714,3,3.714285714,6,6.285714286,4,5.714285714,7,4.857142857,7,10.14285714,2,7.428571429,14,8,15,11,15,11,14,12,3,3,0,0,1,3,0,4,1,0,0,0,3,0,0,2,1,1,2,2
368,20180901-075346_269,other,providep,other,agree,cre,asktask,emo,offtask,emo,asktask,cre,providep,emo,providep,log,asktask,task,offtask,other,positive,0,1,A2TKHXY755FAM,0,0.1,1,1,A1RGD548VIVY96,1,1,42,Female,Other,4,Married,Employed for wages,8,Protestant (Baptist Methodist Non-denominational etc.),2,5,3,3,3,3,3,3,3,3,5,4,4,4,4,2,2,2,2,4,1,1,2,1,2,1,3,3,3,32,Male,Hispanic/Latino,6,Married,Employed for wages,9,Agnostic,3,5,3,3,4,3,4,4,3,4,5,4,4,4,4,2,2,2,2,3,1,1,3,3,3,1,3,3,3,4.8,4,1.8,4,4.4,4.4,4.4,4.4,2.2,2.2,5,5,5,1,1,4,1.6,1.8,1.8,2,3,4,2.4,3.6,2.2,4.6,4.6,3.8,4,5,4.8,4,5,5,5,3.6,5,5,5,5,5,4,3.8,6,3.8,5,4.8,3,4.6,4.8,4.8,4.6,3.2,2,2.4,3.2,2,3.6,2,4,4,3,4,4,3.4,3.4,2.977272727,2.727272727,1.090909091,3.022727273,4.113636364,3,3.090909091,3.022727273,2.840909091,2.909090909,3.159090909,3.068181818,3.863636364,1.045454545,1.25,3.636363636,1.045454545,1.045454545,1.022727273,1.045454545,3,4.022727273,3,3.022727273,1.681818182,3.545454545,3.590909091,2.113636364,2.113636364,2.25,3.772727273,2.136363636,3.954545455,3.704545455,2.090909091,3.909090909,4.045454545,4.977272727,2.954545455,4,4.977272727,4,1.045454545,5,4,2.954545455,3.863636364,4.75,4.931818182,2.181818182,4.727272727,4.954545455,4.909090909,3.068181818,3.068181818,2.159090909,2.136363636,4.454545455,2.159090909,4,4.045454545,3.204545455,4,4,2.136363636,2.272727273,8.8,3.363636364,2.2,-0.340909091,3.2,0.522727273,10.8,11.36363636,13,7.795454545,12,13,12,15,16,16,12,11,3,2,1,0,1,3,0,3,1,0,0,0,3,1,0,2,4,4,21,17
403,20180901-192142_112,other,providep,other,offtask,emo,asktask,cre,asktask,cre,offtask,log,providep,emo,providep,other,providep,other,providep,task,providep,0,1,A32JIQCG4LKPYT,0,0,0,1,A2N93IVSZXSB73,0.5,1,31,Female,White/Caucasian,4,Never been married,Employed for wages,10,Roman Catholic,4,5,3,3,3,3,4,5,5,5,4,4,4,4,5,1,1,1,1,2,1,4,1,1,1,1,1,1,1,53,Male,White/Caucasian,4,Married,Employed for wages,11,Roman Catholic,3,4,4,4,3,4,4,4,4,4,4,4,5,5,5,2,3,3,2,5,1,1,4,3,2,1,5,5,5,2,4,2,4,4,4,4,4,4,2,2,1,1,4,1,4,2,1,2,2,4,4,4,2,2,2,4,2,2,2,2,2,4,5,1,1,4,4,1,4,2,5,2,2,2,2,1,4,5,3,3,3,4,2,4,3,4,5,2,1,2,1,4,4,2,4,5,4.142857143,4,1.857142857,2.142857143,5,4.142857143,4,1,1,5,4.142857143,5,1,1,5,1,1,1,1,5,5,4.142857143,4.714285714,1,5.142857143,5,3,4.285714286,6,5.428571429,4.714285714,6,6,6,4.857142857,5,5.714285714,6,6,5.857142857,4,4,1,3.285714286,5.571428571,6,5,4.714285714,5,4.142857143,6,5,4.857142857,5,5,6,5,1.714285714,4,4.857142857,4,4.857142857,4.142857143,2,2,6,11.14285714,0,9.142857143,3,-1,12,17.85714286,-1,12.14285714,12,15,19,16,17,19,6,15,2,2,1,0,1,4,0,2,0,0,0,0,6,0,0,2,1,1,6,2
442,20180903-070317_375,other,providep,other,providep,other,providep,other,providep,cre,asktask,cre,offtask,cre,asktask,cre,asktask,emo,asktask,log,providep,0,1,A1FVCMGXK85014,0,0,0,1,A3976SWQ9TVFVN,0,0,31,Male,White/Caucasian,6,Married,Employed for wages,5,Roman Catholic,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,1,1,4,1,1,4,4,4,1,4,4,4,36,Female,White/Caucasian,3,Married,Employed for wages,2,Protestant (Baptist Methodist Non-denominational etc.),4,3,2,1,1,2,2,4,2,2,3,1,4,3,3,1,1,1,3,2,1,1,1,1,1,1,4,1,4,4,4.037037037,1.333333333,1.259259259,1.37037037,4,4,3.851851852,1.111111111,1.296296296,4,4,3.814814815,1.185185185,1.148148148,3.962962963,1.185185185,1.185185185,1.185185185,1.148148148,3.962962963,4.037037037,3.037037037,4,2.185185185,3.296296296,3.703703704,3.851851852,3.740740741,3.814814815,3.666666667,3.481481481,3.592592593,3.851851852,4.259259259,3.925925926,3.925925926,4.666666667,4.62962963,4.444444444,4.296296296,4.592592593,4.592592593,4.407407407,4.407407407,4.37037037,4.555555556,4.444444444,4.148148148,3.740740741,3.259259259,3.296296296,3.333333333,3.407407407,3.222222222,3.185185185,3.148148148,3.259259259,2,2,2,4.074074074,4,4,3.962962963,3.962962963,4.8,4.8,4.2,1,3.4,4.6,4.8,4.6,1,1,4.2,3,3.2,2.4,1.2,3.8,3,4,1.8,1.4,4.4,4.4,4.4,4.4,1,5.8,5.8,3.2,4,5,5,1,4.8,5.4,1.8,2,6,5,4.8,5.2,4.2,4,1,3.4,1.4,4.6,4.6,4.6,3.6,4.2,5.6,5.8,5.4,4.4,3.4,2.4,2.2,4,1,5,5,2.2,4.6,4.6,2,2.2,9.444444444,12,6.740740741,9.4,0.740740741,6.4,12.85185185,16.6,9.481481481,6.8,20,6,20,10,16,11,8,8,1,4,1,0,0,4,0,4,0,0,0,0,5,0,0,1,16,12,4,1
443,20180903-071928_910,other,providep,other,asktask,cre,providep,cre,providep,cre,asktask,cre,providep,log,providep,log,offtask,other,providep,other,offtask,0,1,A1DUH3RLI00YQM,0,0,0,1,ACP3L9X63GBRK,0,0,73,Male,White/Caucasian,4,Living with partner,Retired,7,Protestant (Baptist Methodist Non-denominational etc.),3,5,5,5,4,5,5,5,5,5,5,4,4,4,4,2,2,2,1,4,1,1,4,5,4,1,4,4,4,27,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Agnostic,2,3,3,4,3,3,5,4,3,3,4,3,2,4,4,1,2,4,2,4,1,2,3,3,3,1,3,3,4,5,4.25,2,2,4,4.75,4.75,5,1.25,1.25,4.5,4,5,1.75,1,5,1,1,1,1,3.25,4,3,3,2,3,4.25,5,4.75,3.5,4.5,4,4.75,5,3.75,3.5,5.75,4,5,6,5,6,3.5,1.75,5,6,4,2.75,3.75,4,5,5.25,4.5,4,3.75,3.5,3.75,3.75,2,3.75,4,4.25,4,4,2,2,4.6,4.2,4.3,1.9,1.6,3.1,1.8,1.9,3.6,4.6,5,5,4.8,1,1,4,1.8,2,1.2,2.3,2,4.9,4.1,3.7,1,4.4,4,2.3,4.5,6,3.6,1.2,6,4.9,1,5.9,2,4.9,5.9,5,5,4,1.4,1.4,1.9,2,1,5.7,3.9,1,2,5.2,6,4.9,4.9,6,6,3.4,1.6,4,2.2,1,4.3,4.6,4,1.1,12,-1.4,5.25,9.6,-1,3.3,11.25,13.7,10.75,12.8,19,13,20,15,16,13,11,13,0,4,2,0,0,4,0,2,0,0,0,0,6,0,0,2,1,1,9,6
444,20180903-073450_337,other,providep,pro,providep,emo,offtask,emo,providep,log,providep,emo,providep,other,offtask,other,providep,other,offtask,task,offtask,0,1,A1AZLJ3R5FQ9B7,0,0,0,1,AP1FXX0XQQTG8,0,0,65,Female,White/Caucasian,4,Married,Self-employed,5,Protestant (Baptist Methodist Non-denominational etc.),3,3,2,3,2,4,3,3,3,3,2,1,2,1,1,4,3,3,1,1,1,1,1,1,1,1,2,2,2,55,Female,Black/African American,4,Never been married,Retired,6,Other,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,2,2,4,3,1,1,3,2,2,1,4,4,4,4.5,2.5,1.5,2.5,2.5,5,5,5,1,1,4,3.5,3.5,4.5,1.5,4,1,3,1,2,3,4,2.5,4,1,4,5,4,4,5.5,6,2,6,5,6,2,4,4.5,5,5.5,4,5.5,4,5,4,5.5,5,3.5,4,5,5.5,5.5,5.5,5,2,5,5,5.5,1,2,5,1.5,4,4.5,3,2.5,5,4,4,2,3,5,5,5,1,4,5,4,4,2,1,4,2,3,5,5,5,5,3,4,1,5,5,4,5,4,5,4,6,6,5,4,6,6,6,5,6,5,4,5,3,4,3,5,5,4,6,6,4,4,4,5,5,6,2,3,5,3,5,5,4,3,13,10,3.5,8,3,11,12.5,16,5,10,11,16,12,15,5,14,12,14,3,0,1,1,1,4,0,0,0,0,0,0,6,0,0,4,1,1,1,1
460,20180903-094620_889,other,providep,pro,agree,task,offtask,emo,providep,log,providep,log,providep,cre,offtask,emo,providep,emo,providep,emo,offtask,0,1,ACP3L9X63GBRK,0,0,0,1,A1XXI7APKCOIP3,0,0,27,Male,White/Caucasian,4,Living with partner,Employed for wages,6,Agnostic,2,5,3,4,4,4,5,5,4,4,4,4,4,5,4,2,1,1,1,4,1,2,4,4,5,1,3,3,4,34,Female,Hispanic/Latino,3,Separated,A student,2,Other,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,5,1,5,5,5,4.6,4.2,4.3,1.9,1.6,3.1,1.8,1.9,3.6,4.6,5,5,4.8,1,1,4,1.8,2,1.2,2.3,2,4.9,4.1,3.7,1,4.4,4,2.3,4.5,6,3.6,1.2,6,4.9,1,5.9,2,4.9,5.9,5,5,4,1.4,1.4,1.9,2,1,5.7,3.9,1,2,5.2,6,4.9,4.9,6,6,3.4,1.6,4,2.2,1,4.3,4.6,4,1.1,3.666666667,3.666666667,3,2.666666667,3.333333333,4.333333333,4,3.333333333,2.333333333,2,5,4.666666667,4.333333333,2,1.333333333,2.666666667,2,3.666666667,1.666666667,2.333333333,4.666666667,5,4.333333333,4,1,4.666666667,5,3.333333333,4.666666667,5.333333333,5,3.333333333,5.333333333,5.333333333,3.666666667,3.666666667,4.666666667,5.666666667,5,5.666666667,5.666666667,4,2.666666667,5.666666667,4.666666667,4.666666667,4,5.666666667,4.333333333,2,3,3.666666667,4,3,1.666666667,2.666666667,2,3,1.333333333,3.333333333,4,3.666666667,4.666666667,4.666666667,2,3,-1.4,7.333333333,9.6,4.333333333,3.3,7,13.7,17,12.8,10.66666667,15,20,18,20,17,20,9,25,4,1,2,1,1,1,0,0,1,0,0,0,6,0,0,3,9,7,3,3
462,20180903-095231_898,other,providep,emo,providep,emo,providep,emo,providep,emo,providep,emo,providep,emo,providep,emo,providep,emo,providep,task,offtask,0,1,AEO8NL8D28NQG,0,0,0,1,A2EJLKLPXT8GDI,0,0,20,Male,White/Caucasian,2,Never been married,A student,11,Atheist,5,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,Male,Hispanic/Latino,4,Never been married,Employed for wages,5,Agnostic,4,2,2,3,2,1,1,5,3,3,5,1,2,1,2,4,5,5,5,1,2,1,3,5,3,1,5,5,5,1,1,5,4.6,4.8,1,1,1,5,5,4,3,4,2.2,1.8,5,1,1,1,1,1,4,2.6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2.4,1.2,1,1,1,4.4,1,1,6,1,1,1,6,6,2.4,5.8,5,4.4,6,5,1,4.2,2,5,5,1,1,5,4,3,2,4,5,5,5,1,1,4,5,5,1,1,5,1,1,1,1,3,5,2,4,2,4,5,2,4,3,3,2,4,5,1,4,3,5,6,6,5,3,4,1,3,1,2,5,6,2,4,6,4,3,4,2,2,5,2,4,5,4,5,5,1,1,-7,13,-2.4,6,-1,-1,10.6,12,7,12,12,8,12,12,4,6,5,20,8,0,0,0,1,1,0,0,0,0,0,0,9,0,0,1,3,2,1,1
480,20180903-131454_357,other,providep,cre,asktask,emo,asktask,log,offtask,cre,providep,cre,agree,log,providep,emo,providep,emo,offtask,task,agree,0,1,A3EJ44J2ZNRMDA,0,0,0,1,A3BJNFU4T7RU11,0,0,48,Male,White/Caucasian,4,Never been married,Employed for wages,6,Agnostic,3,2,3,5,4,4,3,3,3,3,5,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,3,3,3,33,Male,White/Caucasian,3,Never been married,Employed for wages,4,Protestant (Baptist Methodist Non-denominational etc.),2,2,3,3,2,3,4,5,2,3,5,4,2,5,4,4,5,5,2,4,1,1,1,1,1,3,2,2,1,5,5,5,1,1,5,4,4,1,1,5,5,5,1,1,4,1,3,1,4,5,5,5,5,1,4,6,1,2,1,5,1,3,6,1,2,6,6,4,6,6,4,1,2,2,2,1,5,1,3,5,6,6,5,5,5,4,5,1,4,5,2,5,5,1,1,1,1,1,4,5,1,3,3,5,4,5,5,4,3,3,2,4,4,5,5,4,4,2,3,2,6,6,4,4,5,6,4,6,5,5,6,6,6,5,6,5,6,4,2,3,4,4,5,5,6,3,5,6,5,2,3,2,4,2,2,5,2,5,5,5,5,11,-2,13,-6,5,16,19,11,13,8,16,11,12,14,4,15,7,20,3,3,2,0,1,2,0,2,2,0,0,0,4,0,0,2,1,1,1,1
486,20180903-133523_829,other,providep,emo,offtask,emo,offtask,emo,offtask,emo,offtask,emo,offtask,emo,providep,emo,providep,emo,providep,other,providep,0,1,AEO8NL8D28NQG,0,0,0,1,A3DQBJOPTTD7QZ,0,0,20,Male,White/Caucasian,2,Never been married,A student,11,Atheist,5,3,3,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,Male,White/Caucasian,3,Married,Employed for wages,11,Roman Catholic,1,5,5,5,5,5,5,5,5,5,4,2,2,1,2,1,1,1,1,2,1,1,3,4,4,1,5,5,5,1,1,5,4.6,4.8,1,1,1,5,5,4,3,4,2.2,1.8,5,1,1,1,1,1,4,2.6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2.4,1.2,1,1,1,4.4,1,1,6,1,1,1,6,6,2.4,5.8,5,4.4,6,5,1,4.2,2,5,5,1,1,4,4,4,5,5,2,1,1,5,5,3,4,4,2,1,3,2,3,3,4,1,5,2,2,2,1,1,5,5,5,4,5,4,5,5,6,2,5,6,6,5,2,6,5,6,6,5,5,5,6,2,3,4,3,3,2,3,2,2,2,2,2,3,3,3,3,-7,-6,-2.4,2,-1,9,10.6,8,7,8,12,20,12,20,4,7,5,6,8,0,0,0,0,2,0,0,0,0,0,0,5,0,0,5,3,3,1,1
